name	terms	is_query
HSP90AB1	protein modification process;anatomical structure development;protein folding;cell differentiation;establishment or maintenance of cell polarity;protein-containing complex assembly;programmed cell death;telomere organization;protein catabolic process;signaling;molecular function regulator activity;hydrolase activity;ATP-dependent activity;protein folding chaperone;RNA binding;cytoskeletal protein binding;nucleoplasm;nucleus;plasma membrane;cytosol;organelle;extracellular region;mitochondrion;extracellular space;cytoplasmic vesicle	True
HSPA4	protein folding;intracellular protein transport;protein-containing complex assembly;membrane organization;mitochondrion organization;protein folding chaperone;ATP-dependent activity;nucleus;cytosol;organelle;extracellular space;mitochondrion	True
HSPA5	anatomical structure development;protein folding;intracellular protein transport;cell differentiation;transmembrane transport;protein-containing complex assembly;regulation of DNA-templated transcription;programmed cell death;reproductive process;protein modification process;protein catabolic process;signaling;cell motility;hydrolase activity;protein folding chaperone;ATP-dependent activity;endoplasmic reticulum;nucleus;plasma membrane;cytosol;organelle;extracellular space;mitochondrion;cytoplasmic vesicle	True
HSPB1	anatomical structure development;protein folding;intracellular protein transport;cell adhesion;autophagy;microtubule-based movement;programmed cell death;protein modification process;signaling;cell motility;wound healing;RNA binding;protein folding chaperone;cytoskeleton;nucleus;plasma membrane;cytosol;organelle;extracellular space	True
LDHB	nucleobase-containing small molecule metabolic process;oxidoreductase activity;cytosol;organelle;extracellular space;mitochondrion	True
MVP	protein modification process;signaling;cytoskeleton;nucleus;nuclear envelope;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	True
NCOA4	anatomical structure development;intracellular protein transport;regulation of DNA-templated transcription;reproductive process;signaling;transcription regulator activity;nucleus;lysosome	True
PAGE5		True
PAICS	carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;ligase activity;lyase activity;cytosol;organelle;extracellular space	True
PCNA	DNA replication;DNA repair;anatomical structure development;cell differentiation;regulation of DNA-templated transcription;reproductive process;telomere organization;mitotic cell cycle;molecular function regulator activity;catalytic activity, acting on DNA;DNA binding;hydrolase activity;nucleoplasm;nucleus;nuclear chromosome;chromosome;organelle;extracellular space;microtubule organizing center	True
PKM	anatomical structure development;generation of precursor metabolites and energy;cytoplasmic translation;carbohydrate metabolic process;carbohydrate derivative metabolic process;programmed cell death;protein modification process;nucleobase-containing small molecule metabolic process;catalytic activity, acting on a protein;RNA binding;transferase activity;endoplasmic reticulum;extracellular matrix;nucleus;cilium;cytosol;organelle;extracellular region;mitochondrion;extracellular space;cytoplasmic vesicle	True
PPP1R14B	defense response to other organism;immune system process;molecular function regulator activity	True
PRDX1	anatomical structure development;immune system process;defense response to other organism;detoxification;signaling;RNA binding;oxidoreductase activity;antioxidant activity;nucleus;cytosol;organelle;extracellular space;cytoplasmic vesicle	True
RANBP1	mitotic nuclear division;nucleocytoplasmic transport;signaling;cytoskeleton organization;molecular function regulator activity;microtubule organizing center;nuclear envelope;cytosol;nucleus	True
RPL29	reproductive process;anatomical structure development;cytoplasmic translation;RNA binding;structural molecule activity;ribosome;cytosol	True
RPLP1	cytoplasmic translation;molecular function regulator activity;structural molecule activity;ribosome;cytosol	True
RPLP2	cytoplasmic translation;structural molecule activity;ribosome;cytosol;organelle;extracellular space	True
RPS11	cytoplasmic translation;RNA binding;structural molecule activity;nucleolus;ribosome;nucleoplasm;cytosol;organelle;extracellular space	True
RPS27	protein-containing complex assembly;ribosome biogenesis;cytoplasmic translation;RNA binding;structural molecule activity;DNA binding;ribosome;nucleoplasm;nucleus;cytosol;organelle	True
RTN4	anatomical structure development;immune system process;cell differentiation;defense response to other organism;protein-containing complex assembly;programmed cell death;membrane organization;signaling;cell motility;RNA binding;endoplasmic reticulum;nuclear envelope;organelle;plasma membrane	True
S100A4	cell differentiation;signaling;anatomical structure development;RNA binding;cytoskeletal protein binding;extracellular matrix;nucleus;organelle;extracellular region;extracellular space	True
SH3BGRL3	cytoskeleton organization;nucleoplasm;plasma membrane;cytosol;organelle;extracellular space	True
SQSTM1	DNA-templated transcription;programmed cell death;immune system process;intracellular protein transport;cell differentiation;nucleocytoplasmic transport;regulation of DNA-templated transcription;protein localization to plasma membrane;vesicle-mediated transport;autophagy;protein modification process;protein catabolic process;signaling;mitochondrion organization;catalytic activity, acting on a protein;transferase activity;molecular adaptor activity;endoplasmic reticulum;vacuole;nucleoplasm;cilium;lysosome;endosome;organelle;cytosol;mitochondrion;extracellular space	True
UBQLN1	programmed cell death;immune system process;transmembrane transport;defense response to other organism;autophagy;protein modification process;protein catabolic process;signaling;endoplasmic reticulum;vacuole;nucleoplasm;plasma membrane;cytosol;cytoplasmic vesicle	True
VAT1	mitochondrion organization;anatomical structure development;oxidoreductase activity;lysosome;organelle;extracellular region;extracellular space;mitochondrion;cytoplasmic vesicle	True
YBX1	anatomical structure development;cell differentiation;mRNA metabolic process;regulation of DNA-templated transcription;cytoplasmic translation;RNA binding;DNA binding;endoplasmic reticulum;nucleoplasm;nucleus;plasma membrane;cytosol;organelle;extracellular region;extracellular space	True
YWHAZ	anatomical structure development;intracellular protein transport;cell differentiation;cell junction organization;respiratory system process;regulation of DNA-templated transcription;programmed cell death;protein modification process;signaling;RNA binding;molecular sequestering activity;nucleoplasm;nucleus;cytosol;organelle;extracellular space;cytoplasmic vesicle	True
A2M	anatomical structure development;immune system process;cell differentiation;defense response to other organism;reproductive process;inflammatory response;molecular function regulator activity;extracellular matrix;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
AAAS	cytoskeleton organization;chromosome segregation;nucleocytoplasmic transport;mitotic nuclear division;nervous system process;reproductive process;cytoskeleton;nucleus;nucleoplasm;nuclear envelope;cytosol;microtubule organizing center	False
AARS1	tRNA metabolic process;anatomical structure development;cytoplasmic translation;nervous system process;programmed cell death;amino acid metabolic process;ligase activity;translation regulator activity;catalytic activity, acting on RNA;hydrolase activity;RNA binding;cytosol;organelle;extracellular space;mitochondrion	False
AASDHPPT	protein maturation;cellular modified amino acid metabolic process;vitamin metabolic process;protein modification process;amino acid metabolic process;transferase activity;cytosol;organelle;extracellular space	False
ABCE1	nucleocytoplasmic transport;ribosome biogenesis;hydrolase activity;ATP-dependent activity;molecular function regulator activity;cytosol;mitochondrion	False
ABCF3	defense response to other organism;hydrolase activity;ATP-dependent activity	False
ABHD10	protein modification process;protein catabolic process;carbohydrate metabolic process;carbohydrate derivative metabolic process;catalytic activity, acting on a protein;hydrolase activity;cytosol;mitochondrion	False
ABHD11	lipid metabolic process;hydrolase activity;mitochondrion	False
ABHD14B	regulation of DNA-templated transcription;sulfur compound metabolic process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;hydrolase activity;transferase activity;nucleolus;nucleoplasm;nucleus;cytosol;organelle;extracellular space	False
ABHD5	lipid metabolic process;cell differentiation;hydrolase activity;transferase activity;lipid droplet;cytosol;nucleoplasm;organelle	False
ABR	signaling;molecular function regulator activity;cytosol	False
ABRACL		False
ACAA2	lipid metabolic process;mitochondrion organization;programmed cell death;membrane organization;signaling;hydrolase activity;RNA binding;transferase activity;mitochondrion	False
ACAT1	anatomical structure development;generation of precursor metabolites and energy;carbohydrate derivative metabolic process;lipid metabolic process;sulfur compound metabolic process;nucleobase-containing small molecule metabolic process;amino acid metabolic process;transferase activity;organelle;extracellular space;mitochondrion	False
ACAT2	lipid metabolic process;transferase activity;cytosol;organelle;extracellular space;mitochondrion	False
ACBD3	lipid metabolic process;lipid binding;mitochondrion;Golgi apparatus	False
ACLY	generation of precursor metabolites and energy;carbohydrate derivative metabolic process;lipid metabolic process;sulfur compound metabolic process;nucleobase-containing small molecule metabolic process;transferase activity;nucleoplasm;lysosome;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
ACO1	digestive system process;anatomical structure development;generation of precursor metabolites and energy;RNA binding;lyase activity;endoplasmic reticulum;Golgi apparatus;cytosol;organelle;extracellular space;mitochondrion	False
ACOT2	lipid metabolic process;sulfur compound metabolic process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;hydrolase activity;peroxisome;cytosol;mitochondrion	False
ACOT8	carbohydrate derivative metabolic process;lipid metabolic process;peroxisome organization;sulfur compound metabolic process;nucleobase-containing small molecule metabolic process;hydrolase activity;cytosol;peroxisome	False
ACOT9	sulfur compound metabolic process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;hydrolase activity;mitochondrion	False
ACP1	protein modification process;catalytic activity, acting on a protein;hydrolase activity;cytosol;organelle;extracellular space;plasma membrane	False
ACSF3	lipid metabolic process;sulfur compound metabolic process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;ligase activity;ATP-dependent activity;nucleoplasm;mitochondrion	False
ACSL1	transmembrane transport;carbohydrate derivative metabolic process;lipid metabolic process;protein modification process;sulfur compound metabolic process;signaling;nucleobase-containing small molecule metabolic process;ligase activity;ATP-dependent activity;peroxisome;plasma membrane;mitochondrion;endoplasmic reticulum	False
ACTA1	cell differentiation;muscle system process;cytoskeleton organization;anatomical structure development;structural molecule activity;cytoskeletal protein binding;hydrolase activity;cytosol;cytoskeleton;organelle;extracellular space	False
ACTA2	anatomical structure development;cell differentiation;circulatory system process;signaling;cell motility;wound healing;hydrolase activity;extracellular matrix;cytoskeleton;cilium;cytosol;organelle;extracellular space	False
ACTB	anatomical structure development;chromosome segregation;immune system process;cytoskeleton organization;cell junction organization;cell differentiation;transmembrane transport;cell adhesion;vesicle-mediated transport;cell motility;DNA repair;chromatin organization;regulation of DNA-templated transcription;protein modification process;mitotic cell cycle;wound healing;establishment or maintenance of cell polarity;DNA recombination;protein localization to plasma membrane;programmed cell death;structural molecule activity;cytoskeletal protein binding;DNA binding;hydrolase activity;cytoskeleton;nucleus;nucleoplasm;plasma membrane;chromosome;cytosol;organelle;extracellular space	False
ACTBL2	cell motility;cell junction organization;cytoskeleton organization;structural molecule activity;chromosome;organelle;extracellular space	False
ACTL6A	protein modification process;DNA replication;DNA repair;anatomical structure development;chromosome segregation;immune system process;cell differentiation;cell adhesion;DNA recombination;chromatin organization;regulation of DNA-templated transcription;programmed cell death;telomere organization;mitotic cell cycle;signaling;transcription regulator activity;DNA binding;nucleoplasm;nucleus;nuclear chromosome;plasma membrane;chromosome	False
ACTN1	cytoskeleton organization;anatomical structure development;cell differentiation;cell adhesion;cell junction organization;regulation of DNA-templated transcription;programmed cell death;transcription regulator activity;RNA binding;cytoskeletal protein binding;structural molecule activity;cytoskeleton;nucleus;plasma membrane;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
ACTN4	anatomical structure development;cytoskeleton organization;cell differentiation;transmembrane transport;cell adhesion;regulation of DNA-templated transcription;programmed cell death;signaling;cell motility;transcription regulator activity;RNA binding;cytoskeletal protein binding;DNA binding;cytoskeleton;nucleus;nucleoplasm;plasma membrane;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
ACTR1A	vesicle-mediated transport;cytoskeleton;cytosol;organelle;extracellular space;microtubule organizing center	False
ACTR1B	cytoskeleton;cytoplasmic vesicle;cytosol;organelle;extracellular region;extracellular space;microtubule organizing center	False
ACTR2	DNA repair;chromosome segregation;cytoskeleton organization;immune system process;establishment or maintenance of cell polarity;defense response to other organism;DNA recombination;regulation of DNA-templated transcription;cytokinesis;microtubule-based movement;reproductive process;meiotic nuclear division;cilium organization;structural molecule activity;cytoskeletal protein binding;cytoskeleton;nucleus;lysosome;chromosome;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
ACTR3	chromosome segregation;cytoskeleton organization;immune system process;establishment or maintenance of cell polarity;defense response to other organism;regulation of DNA-templated transcription;cytokinesis;microtubule-based movement;reproductive process;meiotic nuclear division;cell motility;cilium organization;structural molecule activity;cytoskeletal protein binding;cytoskeleton;nucleus;chromosome;cytosol;organelle;extracellular space	False
ACY1	amino acid metabolic process;hydrolase activity;cytosol;organelle;extracellular space	False
ADAR	anatomical structure development;immune system process;cell differentiation;defense response to other organism;protein-containing complex assembly;mRNA metabolic process;RNA-mediated gene silencing;programmed cell death;protein modification process;signaling;RNA binding;DNA binding;hydrolase activity;nucleolus;nucleoplasm;nucleus	False
ADH5	protein modification process;generation of precursor metabolites and energy;circulatory system process;lipid metabolic process;respiratory system process;detoxification;oxidoreductase activity;lipid binding;cytosol;organelle;extracellular space;mitochondrion	False
ADI1	sulfur compound metabolic process;amino acid metabolic process;oxidoreductase activity;cytosol;nucleus;plasma membrane	False
ADK	carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;RNA binding;transferase activity;cytosol;nucleoplasm;plasma membrane;nucleus	False
ADRM1	DNA-templated transcription;protein catabolic process;protein-containing complex assembly;molecular function regulator activity;cytosol;nucleoplasm;plasma membrane	False
ADSL	carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;generation of precursor metabolites and energy;lyase activity;cytosol	False
ADSS2	amino acid metabolic process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;immune system process;ligase activity;cytosol;organelle;extracellular space;mitochondrion	False
AGPS	lipid metabolic process;transferase activity;nucleolus;peroxisome;cytosol;mitochondrion	False
AGTRAP	signaling;circulatory system process;molecular transducer activity;endoplasmic reticulum;plasma membrane;Golgi apparatus;organelle;cytoplasmic vesicle	False
AHCY	sulfur compound metabolic process;hydrolase activity;cytosol;cytoplasmic vesicle;extracellular space;organelle	False
AHCYL1	intracellular protein transport;nucleocytoplasmic transport;transmembrane transport;mRNA metabolic process;programmed cell death;sulfur compound metabolic process;signaling;RNA binding;endoplasmic reticulum;plasma membrane;cytosol;organelle;extracellular space	False
AHSA1	protein folding;molecular function regulator activity;endoplasmic reticulum;cytosol;organelle;extracellular space	False
AHSG	vesicle-mediated transport;inflammatory response;signaling;anatomical structure development;molecular function regulator activity;endoplasmic reticulum;extracellular matrix;Golgi apparatus;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
AIFM1	intracellular protein transport;transmembrane transport;protein-containing complex assembly;programmed cell death;signaling;mitochondrion organization;oxidoreductase activity;DNA binding;cytosol;nucleus;mitochondrion	False
AIFM2	vitamin metabolic process;mitochondrion organization;generation of precursor metabolites and energy;programmed cell death;oxidoreductase activity;DNA binding;nucleus;plasma membrane;cytosol;extracellular space;mitochondrion;lipid droplet	False
AIMP2	anatomical structure development;cell differentiation;protein-containing complex assembly;programmed cell death;protein modification process;molecular adaptor activity;cytosol;nucleus	False
AIP	DNA-templated transcription;protein maturation;protein folding;intracellular protein transport;mitochondrion organization;regulation of DNA-templated transcription;signaling;transcription regulator activity;isomerase activity;catalytic activity, acting on a protein;cytosol;nucleoplasm;plasma membrane	False
AK2	carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;transferase activity;cilium;organelle;extracellular space;mitochondrion	False
AK4	carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;generation of precursor metabolites and energy;transferase activity;mitochondrion	False
AKAP1	immune system process;defense response to other organism;programmed cell death;RNA binding;cytosol;mitochondrion	False
AKR1A1	sulfur compound metabolic process;carbohydrate metabolic process;carbohydrate derivative metabolic process;lipid metabolic process;vitamin metabolic process;detoxification;oxidoreductase activity;cytosol;organelle;extracellular space;plasma membrane	False
AKR1B1	anatomical structure development;generation of precursor metabolites and energy;cell differentiation;renal system process;carbohydrate metabolic process;carbohydrate derivative metabolic process;lipid metabolic process;programmed cell death;oxidoreductase activity;cytosol;nucleoplasm;extracellular space;organelle	False
AKR7A2	lipid metabolic process;carbohydrate metabolic process;carbohydrate derivative metabolic process;generation of precursor metabolites and energy;oxidoreductase activity;hydrolase activity;Golgi apparatus;cytosol;organelle;extracellular space;mitochondrion	False
ALAD	protein catabolic process;protein-containing complex assembly;catalytic activity;lyase activity;nucleus;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
ALB	detoxification;programmed cell death;lipid binding;DNA binding;antioxidant activity;endoplasmic reticulum;nucleus;Golgi apparatus;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
ALDH16A1	oxidoreductase activity	False
ALDH1B1	carbohydrate metabolic process;oxidoreductase activity;cytosol;nucleoplasm;mitochondrion	False
ALDH7A1	nervous system process;cellular modified amino acid metabolic process;oxidoreductase activity;nucleus;cytosol;organelle;extracellular space;mitochondrion	False
ALDH9A1	protein-containing complex assembly;cellular modified amino acid metabolic process;oxidoreductase activity;cytosol;organelle;extracellular space	False
ALDOA	cytoskeleton organization;generation of precursor metabolites and energy;anatomical structure development;carbohydrate metabolic process;carbohydrate derivative metabolic process;protein-containing complex assembly;muscle system process;reproductive process;nucleobase-containing small molecule metabolic process;RNA binding;cytoskeletal protein binding;lyase activity;cytoskeleton;nucleus;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
ANP32A	nucleocytoplasmic transport;signaling;programmed cell death;RNA binding;histone binding;endoplasmic reticulum;nucleoplasm;nucleus	False
ANP32B	anatomical structure development;intracellular protein transport;cell differentiation;nucleocytoplasmic transport;protein-containing complex assembly;chromatin organization;programmed cell death;histone binding;nucleolus;nucleoplasm;nucleus;organelle;extracellular space	False
ANXA1	anatomical structure development;immune system process;cytoskeleton organization;cell differentiation;cell adhesion;defense response to other organism;lipid metabolic process;vesicle-mediated transport;programmed cell death;inflammatory response;protein modification process;membrane organization;reproductive process;mitotic cell cycle;signaling;cell motility;wound healing;molecular function regulator activity;lipid binding;cell adhesion mediator activity;extracellular matrix;cytoskeleton;nucleus;nucleoplasm;plasma membrane;cilium;endosome;cytosol;extracellular region;extracellular space;organelle	False
ANXA2	DNA-templated transcription;extracellular matrix organization;protein maturation;anatomical structure development;cell differentiation;transmembrane transport;cell adhesion;mRNA metabolic process;regulation of DNA-templated transcription;protein catabolic process;vesicle-mediated transport;membrane organization;signaling;wound healing;cell adhesion mediator activity;lipid binding;molecular function regulator activity;transporter activity;RNA binding;cytoskeletal protein binding;extracellular matrix;nucleus;plasma membrane;lysosome;endosome;cytosol;extracellular region;extracellular space;organelle;lipid droplet;cytoplasmic vesicle	False
ANXA2P2	transmembrane transport;molecular function regulator activity;cytoskeletal protein binding;lipid binding;transporter activity;extracellular matrix;nucleus;plasma membrane;organelle;extracellular space;cytoplasmic vesicle	False
ANXA4	anatomical structure development;cell differentiation;regulation of DNA-templated transcription;programmed cell death;signaling;molecular function regulator activity;lipid binding;extracellular matrix;nucleus;plasma membrane;nuclear envelope;organelle;extracellular space;cytoplasmic vesicle	False
ANXA5	programmed cell death;signaling;wound healing;molecular function regulator activity;lipid binding;extracellular matrix;plasma membrane;cytosol;organelle;extracellular region;extracellular space	False
ANXA6	anatomical structure development;cell differentiation;transmembrane transport;muscle system process;programmed cell death;membrane organization;signaling;cell motility;wound healing;cytoskeletal protein binding;lipid binding;transporter activity;extracellular matrix;lysosome;endosome;organelle;extracellular space;mitochondrion;cytoplasmic vesicle	False
ANXA7	cell differentiation;anatomical structure development;autophagy;RNA binding;lipid binding;endoplasmic reticulum;extracellular matrix;nucleus;organelle;extracellular space;cytoplasmic vesicle	False
AP2B1	intracellular protein transport;vesicle-mediated transport;anatomical structure development;molecular adaptor activity;plasma membrane;lysosome;cytosol;endosome;cytoplasmic vesicle	False
AP3M1	intracellular protein transport;microtubule-based movement;vesicle-mediated transport;endosome;cytoplasmic vesicle;Golgi apparatus;lysosome	False
APEX1	DNA repair;mRNA metabolic process;DNA recombination;regulation of DNA-templated transcription;aging;programmed cell death;telomere organization;mitotic cell cycle;cell motility;catalytic activity, acting on DNA;transcription regulator activity;catalytic activity, acting on RNA;DNA binding;hydrolase activity;RNA binding;oxidoreductase activity;nucleolus;endoplasmic reticulum;ribosome;nucleoplasm;nucleus;chromosome;mitochondrion;microtubule organizing center	False
API5	programmed cell death;RNA binding;nucleoplasm;nucleus	False
APOB	anatomical structure development;cell differentiation;membrane organization;protein-containing complex assembly;lipid metabolic process;microtubule-based movement;reproductive process;protein catabolic process;cell motility;lipid binding;transporter activity;endoplasmic reticulum;plasma membrane;lysosome;endosome;cytosol;extracellular region;extracellular space;organelle;lipid droplet;cytoplasmic vesicle	False
APOO	membrane organization;mitochondrion organization;endoplasmic reticulum;Golgi apparatus;cytosol;extracellular region;mitochondrion;extracellular space	False
APRT	carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;anatomical structure development;transferase activity;nucleoplasm;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
ARAP1	cytoskeleton organization;signaling;anatomical structure development;molecular function regulator activity;lipid binding;nucleoplasm;plasma membrane;Golgi apparatus;cytosol;organelle;cytoplasmic vesicle	False
ARCN1	intracellular protein transport;vesicle-mediated transport;anatomical structure development;RNA binding;endoplasmic reticulum;cytosol;cytoplasmic vesicle;Golgi apparatus	False
ARF1	cytoskeleton organization;intracellular protein transport;cell junction organization;cytokinesis;vesicle-mediated transport;mitotic cell cycle;membrane organization;signaling;RNA binding;GTPase activity;plasma membrane;Golgi apparatus;cytosol;organelle;extracellular space	False
ARF3	intracellular protein transport;vesicle-mediated transport;GTPase activity;organelle;extracellular space;plasma membrane;Golgi apparatus	False
ARF4	anatomical structure development;intracellular protein transport;cell differentiation;cell junction organization;establishment or maintenance of cell polarity;regulation of DNA-templated transcription;nervous system process;vesicle-mediated transport;programmed cell death;cell motility;cilium organization;catalytic activity, acting on a protein;molecular function regulator activity;GTPase activity;transferase activity;plasma membrane;Golgi apparatus;cytosol;organelle;extracellular space	False
ARF5	intracellular protein transport;vesicle-mediated transport;GTPase activity;organelle;extracellular space;plasma membrane;Golgi apparatus	False
ARF6	anatomical structure development;cytoskeleton organization;intracellular protein transport;cell differentiation;cell adhesion;cell junction organization;establishment or maintenance of cell polarity;protein-containing complex assembly;protein localization to plasma membrane;vesicle-mediated transport;programmed cell death;signaling;cell motility;molecular function regulator activity;GTPase activity;plasma membrane;Golgi apparatus;cytosol;endosome;organelle;extracellular space;cytoplasmic vesicle	False
ARFRP1	anatomical structure development;intracellular protein transport;protein localization to plasma membrane;vesicle-mediated transport;signaling;GTPase activity;cytosol;Golgi apparatus	False
ARHGAP1	signaling;vesicle-mediated transport;molecular function regulator activity;cytosol;endosome;organelle;extracellular space	False
ARHGAP30	signaling;molecular function regulator activity;cytosol;cytoplasmic vesicle;organelle	False
ARHGDIA	cytoskeleton organization;cell adhesion;vesicle-mediated transport;programmed cell death;signaling;molecular function regulator activity;cytoskeleton;nucleus;plasma membrane;cytosol;organelle;extracellular space	False
ARL14EP	nucleolus;nucleoplasm;plasma membrane;cytosol;organelle	False
ARL2	cytoskeleton organization;generation of precursor metabolites and energy;protein folding;cell adhesion;cell junction organization;carbohydrate metabolic process;carbohydrate derivative metabolic process;protein-containing complex assembly;nucleobase-containing small molecule metabolic process;GTPase activity;nucleolus;cytoskeleton;nucleoplasm;nucleus;plasma membrane;Golgi apparatus;cytosol;mitochondrion;microtubule organizing center	False
ARL3	anatomical structure development;cell differentiation;cytokinesis;microtubule-based movement;vesicle-mediated transport;mitotic cell cycle;signaling;cilium organization;cytoskeletal protein binding;GTPase activity;cytoskeleton;nucleoplasm;nucleus;cilium;Golgi apparatus;organelle;extracellular space;microtubule organizing center	False
ARL6	anatomical structure development;intracellular protein transport;protein-containing complex assembly;nervous system process;vesicle-mediated transport;signaling;cilium organization;lipid binding;GTPase activity;cytoskeleton;plasma membrane;cilium;organelle;extracellular space	False
ARPC1A	cytoskeleton organization;cytoskeletal protein binding;cytoskeleton;nucleus;plasma membrane;chromosome;cytosol;organelle;extracellular space	False
ARPC1B	cytoskeleton organization;structural molecule activity;cytoskeletal protein binding;cytoskeleton;nucleus;cytosol;organelle;extracellular space	False
ARPC2	cell motility;cell adhesion;protein-containing complex assembly;cytoskeleton organization;structural molecule activity;cytoskeletal protein binding;cytoskeleton;nucleoplasm;nucleus;plasma membrane;chromosome;cytosol;endosome;organelle;extracellular space	False
ARPC3	cell motility;cytoskeleton organization;protein-containing complex assembly;structural molecule activity;cytoskeletal protein binding;cytoskeleton;nucleus;chromosome;cytosol;organelle;extracellular space	False
ARPC4	protein-containing complex assembly;cytoskeleton organization;molecular adaptor activity;structural molecule activity;cytoskeletal protein binding;cytoskeleton;nucleus;chromosome;cytosol;organelle;extracellular space	False
ARPC5	protein-containing complex assembly;cytoskeleton organization;cell motility;structural molecule activity;cytoskeletal protein binding;cytoskeleton;nucleus;chromosome;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
ARPC5L	cell motility;cytoskeleton organization;protein-containing complex assembly;cytoskeletal protein binding;cytoskeleton;organelle;extracellular space	False
ASNS	mitotic cell cycle;programmed cell death;amino acid metabolic process;ligase activity;cytosol	False
ATG3	intracellular protein transport;autophagy;vesicle-mediated transport;programmed cell death;protein modification process;mitochondrion organization;cilium organization;catalytic activity, acting on a protein;transferase activity;cytosol	False
ATG5	anatomical structure development;immune system process;cell differentiation;transmembrane transport;defense response to other organism;circulatory system process;autophagy;vesicle-mediated transport;programmed cell death;protein modification process;protein catabolic process;mitochondrion organization;cilium organization;catalytic activity, acting on a protein;transferase activity;vacuole;cytoskeleton;cilium;cytosol;organelle;cytoplasmic vesicle	False
ATG7	defense response to other organism;autophagy;programmed cell death;protein modification process;protein catabolic process;mitochondrion organization;catalytic activity, acting on a protein;ligase activity;ATP-dependent activity;cytoskeleton;cilium;cytosol;extracellular region;cytoplasmic vesicle	False
ATIC	nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process;anatomical structure development;cellular modified amino acid metabolic process;hydrolase activity;transferase activity;cytosol;organelle;extracellular space;plasma membrane	False
ATOX1	molecular carrier activity;cytosol	False
